,label
193.0,1
567.0,2
401.0,2
438.0,2
140.0,1
198.0,1
467.0,2
14.0,1
87.0,1
265.0,0
262.0,0
222.0,0
259.0,0
3.0,1
354.0,0
489.0,2
473.0,2
139.0,1
67.0,1
515.0,2
342.0,0
56.0,1
304.0,0
51.0,1
513.0,2
465.0,2
530.0,2
305.0,0
434.0,2
537.0,2
357.0,0
186.0,1
129.0,1
359.0,0
244.0,0
255.0,0
390.0,0
154.0,1
371.0,0
598.0,2
565.0,2
158.0,1
562.0,2
271.0,0
484.0,2
146.0,1
394.0,0
418.0,2
593.0,2
290.0,0
411.0,2
213.0,0
358.0,0
180.0,1
380.0,0
99.0,1
135.0,1
176.0,1
504.0,2
559.0,2
596.0,2
39.0,1
340.0,0
2.0,1
451.0,2
68.0,1
208.0,0
420.0,2
253.0,0
339.0,0
409.0,2
111.0,1
224.0,0
544.0,2
73.0,1
47.0,1
113.0,1
96.0,1
214.0,0
569.0,2
123.0,1
106.0,1
17.0,1
98.0,1
322.0,0
382.0,0
365.0,0
510.0,2
