,predict
547,0
548,2
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,2
558,2
559,0
560,0
561,2
562,0
563,0
564,2
565,2
566,0
567,2
568,0
569,2
570,0
571,0
572,2
573,0
574,2
575,0
576,2
577,0
578,0
579,0
580,2
581,2
582,2
583,0
584,2
585,2
586,2
587,2
588,2
589,2
590,0
591,2
592,2
593,2
594,2
595,2
596,2
597,2
598,2
599,2
600,2
601,2
602,2
603,0
604,2
605,0
606,2
607,0
608,2
609,0
610,0
611,0
612,2
613,2
614,0
615,2
616,2
617,1
618,2
619,2
620,2
621,2
622,2
623,2
624,1
625,1
626,2
627,0
628,2
629,0
630,2
631,2
632,0
633,2
634,0
635,0
636,2
637,2
638,2
639,2
640,2
641,2
642,0
643,2
644,0
645,0
646,0
647,2
648,0
649,0
650,0
651,2
652,1
653,2
654,0
655,2
656,2
657,0
658,2
659,2
660,2
661,2
662,2
663,2
664,2
665,2
666,2
667,2
668,0
669,2
670,2
671,0
672,0
673,2
674,1
675,2
676,0
677,2
678,2
679,2
680,2
681,2
682,2
683,0
684,2
685,1
686,0
687,2
688,2
689,1
690,1
691,0
692,2
693,2
694,0
695,0
696,2
697,0
698,1
699,0
700,2
701,2
702,2
703,0
704,2
705,2
706,0
707,0
708,2
709,2
710,2
711,1
712,0
713,2
714,0
715,1
716,0
717,2
718,2
719,1
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,1
731,2
732,2
733,2
734,2
735,0
736,2
737,0
738,2
739,2
740,2
741,2
742,2
743,2
744,0
745,0
746,2
747,0
748,0
749,0
750,0
751,2
752,2
753,2
754,0
755,0
756,0
757,0
758,1
759,2
760,0
761,0
762,2
763,0
764,0
765,0
766,0
767,2
768,2
769,0
770,0
771,2
772,2
773,2
774,0
775,0
776,2
777,0
778,0
779,0
780,2
781,0
782,2
783,2
784,0
785,2
786,2
787,0
788,0
789,0
790,1
791,1
792,0
793,2
794,0
795,0
796,2
797,2
798,2
799,2
800,2
801,0
802,2
803,2
804,1
805,0
806,1
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,2
819,2
820,0
821,0
822,0
823,0
824,0
825,2
826,2
827,0
828,0
829,2
830,0
831,0
832,0
833,0
834,0
835,1
836,0
837,2
838,0
839,1
840,0
841,0
842,1
843,0
844,2
845,0
846,2
847,2
848,1
849,0
850,0
851,2
852,2
853,2
854,0
855,2
856,2
857,2
858,2
859,2
860,2
861,0
862,2
863,2
864,2
865,2
866,2
867,0
868,0
869,2
870,0
871,1
872,1
873,2
874,2
875,2
876,0
877,2
878,2
879,2
880,0
881,2
882,1
883,0
884,0
885,0
886,0
887,0
888,2
889,2
890,2
891,2
892,2
893,0
894,0
895,0
896,0
897,0
898,1
899,0
900,2
901,0
902,0
903,2
904,1
905,0
906,0
907,2
908,1
909,0
910,1
911,0
912,0
913,0
914,1
915,2
916,0
917,2
918,0
919,0
920,1
921,2
922,2
923,2
924,2
925,2
926,0
927,2
928,0
929,0
930,2
931,2
932,2
933,0
934,1
935,0
936,2
937,0
938,2
939,2
940,1
941,0
942,2
943,0
944,2
945,2
946,2
947,0
948,0
949,0
950,1
951,0
952,1
953,2
954,0
955,0
956,2
957,0
958,0
959,1
960,2
961,2
962,2
963,0
964,0
965,2
966,2
967,2
968,0
969,2
970,2
971,0
972,0
973,2
974,2
975,2
976,2
977,1
978,2
979,2
980,0
981,0
982,0
983,0
984,1
985,1
986,2
987,2
988,0
989,2
990,0
991,0
992,1
993,0
994,1
995,0
996,0
997,0
998,0
999,0
1000,0
1001,0
1002,1
1003,1
1004,0
1005,0
1006,2
1007,2
1008,2
1009,2
1010,0
1011,2
1012,2
1013,0
1014,2
1015,2
1016,2
1017,2
1018,0
1019,2
1020,2
1021,2
1022,2
1023,2
1024,0
1025,2
1026,0
1027,0
1028,2
1029,2
1030,2
1031,2
1032,0
1033,0
1034,2
1035,0
1036,2
1037,0
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,1
1046,2
1047,2
1048,1
1049,0
1050,0
1051,0
1052,0
1053,2
1054,0
1055,0
1056,0
1057,0
1058,2
1059,2
1060,0
1061,2
1062,2
1063,0
1064,2
1065,2
1066,2
1067,2
1068,2
1069,0
1070,0
1071,0
1072,2
1073,0
1074,2
1075,0
1076,2
1077,2
1078,0
1079,0
1080,0
1081,2
1082,1
1083,2
1084,2
1085,0
1086,2
1087,2
1088,2
1089,1
1090,1
1091,0
1092,2
1093,0
1094,2
1095,0
1096,0
1097,0
1098,1
1099,2
1100,0
1101,2
1102,1
1103,0
1104,0
1105,2
1106,2
1107,0
1108,2
1109,2
1110,0
1111,1
1112,1
1113,0
1114,2
1115,0
1116,2
1117,2
1118,2
1119,0
1120,2
1121,2
1122,2
1123,0
1124,2
1125,0
1126,0
1127,0
1128,0
1129,2
1130,2
1131,0
1132,1
1133,0
1134,2
1135,1
1136,0
1137,2
1138,0
1139,0
1140,0
1141,0
1142,0
1143,0
1144,2
1145,2
1146,2
1147,0
1148,2
1149,2
1150,2
1151,2
1152,1
1153,0
1154,2
1155,2
1156,2
1157,2
1158,2
1159,0
1160,0
1161,0
1162,2
1163,2
1164,2
1165,2
1166,2
1167,0
1168,2
1169,2
1170,1
1171,2
1172,0
1173,0
1174,2
1175,0
1176,0
1177,2
1178,0
1179,2
1180,0
1181,0
1182,2
1183,0
1184,2
1185,2
1186,0
1187,1
1188,0
1189,0
1190,1
1191,0
1192,2
1193,0
1194,2
1195,2
1196,1
1197,0
1198,0
1199,0
