,predict
769,118
770,305
771,408
772,33
773,290
774,256
775,345
776,57
777,179
778,50
779,327
780,336
781,354
782,5
783,107
784,89
785,150
786,77
787,230
788,128
789,128
790,7
791,300
792,51
793,57
794,301
795,171
796,215
797,394
798,125
799,333
800,239
801,124
802,94
803,283
804,12
805,164
806,354
807,399
808,0
809,56
810,36
811,141
812,129
813,324
814,214
815,261
816,369
817,380
818,148
819,157
820,362
821,191
822,198
823,125
824,131
825,102
826,40
827,73
828,116
829,285
830,275
831,192
832,397
833,221
834,281
835,100
836,83
837,187
838,392
839,201
840,89
841,148
842,11
843,0
844,213
845,367
846,34
847,113
848,12
849,145
850,198
851,137
852,355
853,105
854,145
855,146
856,403
857,157
858,195
859,346
860,344
861,244
862,122
863,105
864,51
865,367
866,198
867,147
868,164
869,40
870,83
871,172
872,369
873,218
874,187
875,116
876,381
877,64
878,336
879,122
880,400
881,303
882,188
883,185
884,236
885,193
886,136
887,181
888,187
889,40
890,314
891,162
892,152
893,89
894,281
895,159
896,377
897,284
898,42
899,367
900,230
901,102
902,407
903,40
904,380
905,221
906,108
907,71
908,229
909,145
910,21
911,48
912,414
913,0
914,386
915,165
916,164
917,146
918,389
919,386
920,148
921,75
922,413
923,14
924,104
925,64
926,377
927,149
928,279
929,208
930,155
931,309
932,187
933,244
934,147
935,29
936,105
937,380
938,104
939,165
940,208
941,380
942,102
943,164
944,140
945,92
946,64
947,352
948,263
949,261
950,24
951,358
952,208
953,104
954,343
955,63
956,59
957,89
958,182
959,21
960,154
961,189
962,184
963,310
964,145
965,37
966,209
967,14
968,88
969,137
970,230
971,358
972,323
973,157
974,92
975,315
976,114
977,218
978,113
979,333
980,354
981,125
982,131
983,179
984,118
985,29
986,227
987,346
988,38
989,401
990,114
991,216
992,62
993,136
994,11
995,147
996,120
997,4
998,360
999,105
1000,187
1001,182
1002,275
1003,191
1004,200
1005,164
1006,72
1007,165
1008,125
1009,164
1010,136
1011,64
1012,25
1013,19
1014,163
1015,192
1016,346
1017,114
1018,182
1019,113
1020,41
1021,53
1022,335
1023,140
1024,360
1025,221
1026,77
1027,40
1028,94
1029,75
1030,183
1031,304
1032,40
1033,125
1034,338
1035,221
1036,213
1037,73
1038,164
1039,31
1040,125
1041,116
1042,64
1043,127
1044,202
1045,386
1046,93
1047,122
1048,100
1049,214
1050,114
1051,117
1052,89
1053,213
1054,346
1055,94
1056,281
1057,40
1058,373
1059,105
1060,117
1061,315
1062,183
1063,278
1064,14
1065,122
1066,239
1067,363
1068,190
1069,166
1070,104
1071,116
1072,122
1073,19
1074,18
1075,26
1076,158
1077,98
1078,405
1079,94
1080,380
1081,104
1082,221
1083,140
1084,346
1085,44
1086,160
1087,203
1088,408
1089,375
1090,78
1091,131
1092,253
1093,131
1094,244
1095,222
1096,83
1097,75
1098,21
1099,112
1100,125
1101,238
1102,108
1103,198
1104,242
1105,348
1106,64
1107,214
1108,264
1109,204
1110,117
1111,79
1112,45
1113,40
1114,115
1115,131
1116,44
1117,192
1118,183
1119,212
1120,173
1121,221
1122,90
1123,395
1124,291
1125,0
1126,125
1127,302
1128,136
1129,273
1130,114
1131,0
1132,61
1133,197
1134,116
1135,208
1136,271
1137,170
1138,131
1139,83
1140,293
1141,173
1142,185
1143,407
1144,180
1145,198
1146,165
1147,185
1148,298
1149,238
1150,247
1151,285
1152,402
1153,284
1154,342
1155,291
1156,165
1157,410
1158,140
1159,274
1160,26
1161,173
1162,136
1163,399
1164,117
1165,239
1166,8
1167,35
1168,173
1169,160
1170,21
1171,83
1172,193
1173,214
1174,360
1175,245
1176,29
1177,360
1178,11
1179,360
1180,69
1181,19
1182,213
1183,35
1184,179
1185,377
1186,44
1187,24
1188,61
1189,214
1190,147
1191,35
1192,125
1193,32
1194,285
1195,94
1196,349
1197,214
1198,1
1199,243
