,predict
574,252
575,97
576,317
577,404
578,115
579,134
580,348
581,199
582,171
583,275
584,246
585,336
586,207
587,373
588,105
589,102
590,205
591,327
592,319
593,328
594,146
595,408
596,147
597,199
598,336
599,147
600,328
601,135
602,135
603,315
604,135
605,238
606,246
607,315
608,317
609,251
610,69
611,159
612,347
613,3
614,159
615,345
616,258
617,164
618,345
619,3
620,241
621,199
622,194
623,196
624,371
625,349
626,372
627,68
628,69
629,36
630,135
631,383
632,241
633,252
634,61
635,396
636,246
637,17
638,3
639,328
640,158
641,328
642,251
643,216
644,384
645,306
646,28
647,17
648,170
649,68
650,376
651,220
652,388
653,143
654,190
655,216
656,201
657,55
658,137
659,158
660,18
661,18
662,223
663,278
664,143
665,255
666,63
667,160
668,378
669,220
670,308
671,68
672,254
673,111
674,98
675,220
676,330
677,170
678,158
679,49
680,220
681,97
682,281
683,251
684,121
685,44
686,325
687,160
688,90
689,19
690,180
691,287
692,381
693,90
694,255
695,190
696,89
697,285
698,92
699,301
700,223
701,153
702,143
703,327
704,363
705,255
706,151
707,292
708,363
709,381
710,368
711,37
712,227
713,103
714,292
715,138
716,103
717,253
718,339
719,31
720,202
721,310
722,7
723,123
724,177
725,140
726,394
727,301
728,315
729,292
730,387
731,237
732,143
733,233
734,381
735,77
736,73
737,49
738,236
739,111
740,220
741,103
742,354
743,132
744,324
745,79
746,201
747,287
748,47
749,202
750,238
751,73
752,223
753,327
754,399
755,115
756,254
757,396
758,213
759,313
760,238
761,168
762,244
763,403
764,334
765,272
766,176
767,62
768,404
769,35
770,134
771,223
772,121
773,143
774,273
775,215
776,103
777,36
778,285
779,254
780,348
781,253
782,158
783,327
784,7
785,307
786,73
787,8
788,394
789,251
790,46
791,174
792,79
793,339
794,151
795,203
796,292
797,307
798,18
799,18
800,69
801,238
802,233
803,226
804,349
805,101
806,125
807,190
808,206
809,134
810,235
811,90
812,8
813,123
814,376
815,46
816,355
817,8
818,391
819,361
820,272
821,243
822,90
823,198
824,66
825,132
826,158
827,129
828,273
829,391
830,26
831,108
832,179
833,290
834,360
835,312
836,404
837,310
838,101
839,276
840,184
841,285
842,5
843,129
844,244
845,377
846,361
847,234
848,48
849,139
850,356
851,216
852,137
853,226
854,47
855,363
856,226
857,226
858,278
859,132
860,266
861,101
862,354
863,354
864,26
865,62
866,90
867,26
868,368
869,62
870,208
871,1
872,269
873,409
874,368
875,403
876,66
877,0
878,361
879,236
880,208
881,402
882,5
883,215
884,164
885,376
886,106
887,235
888,66
889,0
890,132
891,257
892,348
893,50
894,335
895,360
896,272
897,139
898,375
899,301
900,158
901,271
902,133
903,127
904,285
905,164
906,368
907,226
908,190
909,404
910,96
911,283
912,90
913,301
914,112
915,391
916,131
917,220
918,224
919,364
920,169
921,339
922,63
923,237
924,90
925,90
926,360
927,220
928,294
929,225
930,361
931,18
932,292
933,357
934,104
935,178
936,220
937,68
938,103
939,310
940,129
941,184
942,132
943,325
944,90
945,13
946,0
947,178
948,221
949,8
950,230
951,33
952,134
953,310
954,250
955,204
956,13
957,184
958,68
959,38
960,305
961,117
962,27
963,173
964,133
965,166
966,296
967,233
968,110
969,160
970,186
971,166
972,405
973,237
974,407
975,237
976,170
977,57
978,281
979,255
980,324
981,333
982,224
983,8
984,213
985,48
986,361
987,223
988,290
989,18
990,290
991,272
992,129
993,15
994,80
995,346
996,331
997,399
998,90
999,154
1000,242
1001,168
1002,4
1003,193
1004,307
1005,292
1006,237
1007,327
1008,255
1009,66
1010,164
1011,90
1012,302
1013,225
1014,178
1015,415
1016,18
1017,292
1018,127
1019,103
1020,158
1021,63
1022,223
1023,34
1024,123
1025,368
1026,68
1027,204
1028,253
1029,18
1030,160
1031,266
1032,222
1033,384
1034,132
1035,108
1036,233
1037,272
1038,208
1039,9
1040,302
1041,186
1042,68
1043,94
1044,120
1045,5
1046,247
1047,127
1048,231
1049,184
1050,168
1051,50
1052,273
1053,292
1054,49
1055,47
1056,331
1057,15
1058,66
1059,132
1060,123
1061,18
1062,77
1063,255
1064,34
1065,97
1066,307
1067,382
1068,254
1069,331
1070,184
1071,404
1072,223
1073,323
1074,132
1075,100
1076,395
1077,240
1078,49
1079,77
1080,164
1081,90
1082,174
1083,73
1084,278
1085,313
1086,290
1087,143
1088,237
1089,72
1090,167
1091,130
1092,290
1093,326
1094,143
1095,90
1096,115
1097,15
1098,142
1099,227
1100,334
1101,320
1102,274
1103,184
1104,254
1105,158
1106,127
1107,238
1108,296
1109,415
1110,178
1111,75
1112,175
1113,273
1114,50
1115,68
1116,186
1117,307
1118,179
1119,186
1120,339
1121,257
1122,172
1123,254
1124,415
1125,212
1126,273
1127,344
1128,11
1129,229
1130,254
1131,309
1132,259
1133,118
1134,271
1135,75
1136,7
1137,308
1138,90
1139,184
1140,374
1141,325
1142,256
1143,190
1144,381
1145,391
1146,289
1147,227
1148,361
1149,116
1150,358
1151,327
1152,6
1153,297
1154,18
1155,296
1156,158
1157,339
1158,296
1159,11
1160,306
1161,217
1162,121
1163,97
1164,62
1165,97
1166,136
1167,206
1168,18
1169,62
1170,270
1171,62
1172,301
1173,77
1174,266
1175,368
1176,292
1177,310
1178,36
1179,97
1180,206
1181,157
1182,0
1183,341
1184,224
1185,271
1186,306
1187,74
1188,170
1189,396
1190,291
1191,206
1192,290
1193,224
1194,62
1195,386
1196,74
1197,285
1198,259
1199,90
